nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
6270	1270153297	-18	177	0x1d0091fe	4294965755	486576638
6300	1270157817	42	148	0x1d0090b6	954	486576310
6330	1270162253	-43	85	0x1d009291	333	486576785
6360	1270166899	-47	16	0x1d0096c1	4294966270	486577857
6390	1270171345	-14	-68	0x1d0094d8	1010	486577368
6420	1270175875	-47	34	0x1d009655	4294967124	486577749
6450	1270180208	28	-35	0x1d00922f	727	486576687
6480	1270184730	16	84	0x1d008e88	504	486575752
6510	1270189333	50	112	0x1d0094db	4294966353	486577371
6540	1270194428	50	405	0x1d009e20	4294965084	486579744
6570	1270198657	27	-77	0x1d009f25	1161	486580005
6600	1270203295	-24	-90	0x1d00a171	4294966594	486580593
6630	1270207663	-15	-82	0x1d009cb6	738	486579382
6660	1270211978	1	-76	0x1d009aeb	412	486578923
6690	1270216466	-34	17	0x1d009a9e	4294966545	486578846
6720	1270221151	17	73	0x1d009d6c	4294966226	486579564
6750	1270225400	16	-125	0x1d0094a9	2883	486577321
6780	1270229877	-22	14	0x1d009602	4294967280	486577666
6810	1270234217	2	-99	0x1d009258	475	486576728
6840	1270239027	0	175	0x1d00982d	4294966008	486578221
6870	1270243234	-40	-176	0x1d0094b8	718	486577336
6900	1270248055	-36	235	0x1d009703	4294966301	486577923
6930	1270252525	32	-36	0x1d00990e	404	486578446
6960	1270257415	24	204	0x1d00a514	4294964219	486581524
6990	1270261739	-33	-43	0x1d00a0ca	1086	486580426
7020	1270266291	-19	81	0x1d009dba	467	486579642
7050	1270270548	38	-115	0x1d009b91	1314	486579089
7080	1270275005	9	86	0x1d00985e	4294967059	486578270
7110	1270279551	-13	-61	0x1d009af8	4294967159	486578936
7140	1270283950	46	49	0x1d009612	916	486577682
7170	1270288884	0	250	0x1d009fbd	4294965381	486580157
7200	1270293427	55	-1	0x1d00a33d	214	486581053
7230	1270297966	-16	63	0x1d00a681	4294966866	486581889
7260	1270302684	35	50	0x1d00a93b	4294967285	486582587
7290	1270306886	24	-136	0x1d00a749	517	486582089
