nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
9510	1271114330	72	982	0x200faa56	4294945969	537897558
9540	1271120481	55	970	0x200ed637	4294042564	537843255
9570	1271126496	51	905	0x20100071	4294930101	537919601
9600	1271132319	22	796	0x200ffcc9	4294953299	537918665
9630	1271138328	66	878	0x200f996f	4294917982	537893231
9660	1271144594	0	951	0x200f4ad1	33981	537873105
9690	1271150827	96	1135	0x200f9d94	4294915923	537894292
9720	1271156756	73	781	0x200fdba7	17180	537910183
9750	1271162812	81	680	0x200ff0e5	5848	537915621
9780	1271168954	30	902	0x200f2b3c	48526	537865020
9810	1271174783	49	782	0x200f35fa	4294885687	537867770
9840	1271180707	50	783	0x200f99b1	4294948713	537893297
9870	1271186619	98	676	0x200f9c87	11913	537894023
9900	1271192785	67	966	0x20101094	4294937859	537923732
9930	1271198838	24	866	0x200f950b	4294913618	537892107
9960	1271204903	85	727	0x20100133	4294958019	537919795
9990	1271210799	48	647	0x200f2879	4294906304	537864313
10020	1271217066	24	916	0x2010025f	4294922283	537920095
10050	1271223156	0	779	0x200f442b	4294946242	537871403
10080	1271229255	67	954	0x200fb430	4294943341	537900080
10110	1271235319	96	883	0x200f25ef	45300	537863663
10140	1271241077	15	702	0x200f0804	18160	537856004
10170	1271247032	11	920	0x200f2c42	4294954678	537865282
10200	1271252861	57	950	0x200effc9	19425	537853897
10230	1271258696	79	809	0x200f1c44	3800	537861188
10260	1271264517	14	856	0x1f0d0718	16910428	520947480
10290	1271270720	45	780	0x200ff820	4294938686	537917472
10320	1271276710	11	802	0x200fa5e8	4294906078	537896424
10350	1271282568	43	854	0x200f4ef2	12284	537874162
10380	1271288822	19	954	0x2000f4a6	965404	536933542
10410	1271294735	4	808	0x200f3023	4294914022	537866275
10440	1271300759	37	913	0x200fc599	4294955032	537904537
10470	1271306598	100	828	0x200fe057	4273	537911383
10500	1271312690	61	1017	0x200f5e52	37451	537878098
10530	1271318653	52	825	0x200fbed8	4294953922	537902808
10560	1271324445	53	633	0x200fd88b	4294954547	537909387
10590	1271330418	45	816	0x200fede8	4294952823	537914856
10620	1271336377	75	915	0x20100537	4294960079	537920823
10650	1271342426	96	848	0x200f8b68	4294925950	537889640
