nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
5100	1269723789	-23	-783	0x1600e92d	8630	369158445
5130	1269726772	-74	-865	0x1600bb83	7001	369146755
5160	1269729771	-28	-845	0x160095bf	4889	369137087
5190	1269732548	-79	-926	0x157490d4	9172422	359960788
5220	1269735287	-52	-1053	0x155943a2	912928	358171554
5250	1269738137	-32	-1072	0x1545be2c	627443	356892204
5280	1269741363	-55	-661	0x15376927	398576	355952935
5310	1269744222	-28	-743	0x152c3b17	382781	355220247
5340	1269747341	-77	-869	0x1523a8cf	293123	354658511
5370	1269750457	-100	-701	0x151cd029	221462	354209833
5400	1269753534	-30	-602	0x151703db	198321	353829851
5430	1269756695	-49	-726	0x1512c9e5	167200	353552869
5460	1269759614	-55	-994	0x150f3f17	144478	353320727
5490	1269762827	-8	-655	0x150c30d6	96086	353120470
5520	1269766002	-20	-716	0x150a06c0	79290	352978624
5550	1269769211	-20	-843	0x15085fae	61862	352870318
5580	1269772116	-79	-947	0x150694c2	62959	352752834
5610	1269774944	-88	-1043	0x15053383	47610	352662403
5640	1269778165	-38	-725	0x1504218c	33802	352592268
5670	1269781118	-35	-881	0x15034f2d	32649	352538413
5700	1269784198	-8	-892	0x1502b011	23849	352497681
5730	1269786893	-90	-1038	0x15021130	21704	352457008
5760	1269789825	-59	-899	0x15019c3e	15171	352427070
5790	1269793059	-47	-563	0x15014a9b	10513	352406171
5820	1269795975	-27	-1076	0x15010e01	10723	352390657
5850	1269799053	-21	-763	0x1500d3d3	7190	352375763
5880	1269802103	-24	-846	0x1500aa25	6558	352365093
5910	1269805032	-83	-996	0x150088aa	5190	352356522
5940	1269807685	-22	-1033	0x1467ef40	1143307	342355776
5970	1269810909	-22	-776	0x145439a2	589950	341064098
6000	1269814042	-43	-872	0x14451905	545721	340072709
6030	1269817240	-67	-694	0x14381671	417469	339220081
6060	1269820403	-85	-657	0x142d3299	408658	338506393
6090	1269823674	-20	-719	0x14263b4e	224145	338049870
6120	1269826571	-66	-1043	0x141eaf24	265205	337555236
6150	1269829526	-30	-860	0x1417cd29	223682	337104169
6180	1269832421	-74	-967	0x1412eae8	182460	336784104
6210	1269835261	-84	-854	0x140e9367	148477	336499559
6240	1269838263	-92	-956	0x140bda9c	90322	336321180
6270	1269841542	-14	-795	0x14097ff4	67245	336166900
6300	1269844447	-24	-801	0x14078928	72362	336038184
6330	1269847465	-76	-896	0x14060e02	52761	335941122
6360	1269850256	-92	-1097	0x1404d054	45532	335859796
6390	1269852831	-84	-1323	0x14039c02	40120	335780866
6420	1269856098	-87	-495	0x1402cf3d	20402	335728445
6450	1269859040	-75	-911	0x14024b9d	21097	335694749
6480	1269862554	-40	-565	0x1401e93a	11032	335669562
6510	1269865334	-73	-903	0x1401807f	18790	335642751
6540	1269868391	-20	-728	0x14013049	12454	335622217
6570	1269871415	-47	-867	0x1400f5d6	9063	335607254
6600	1269874288	-79	-1042	0x1400c847	6320	335595591
